Project,From,Execution,To,FromLocation,FromSuccessCheckPoint,FromFailCheckPoint,FromShowCheckPoint,FromType,FromLastTime,FromResult,ToLocation,ToSuccessCheckPoint,ToFailCheckPoint,ToShowCheckPoint,ToType,ToLastTime,ToResult,Periodic,Replace,Description
Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_TestResult,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/daily_[cmu-project].log,Success,[Fail]_SEQOR_[FailTimeOut]_SEQOR_[Crashed],RESULT:  ,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TestResultFile.txt,FINAL_TEST_RESULT : PASS,FINAL_TEST_RESULT : FAIL,,text,,,1,cmu-project,Committest log and final result check
Committest,[cmu-project]_log_TigerTestAgent_LOG,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_TC_Fail,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/daily_[cmu-project].log,Success,[Fail]_SEQOR_[FailTimeOut]_SEQOR_[Crashed],RESULT:  ,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TA_TC_FAIL_[cmu-module].csv,,,,text,,,1,"cmu-project,cmu-module",Committest TC fail of each module
Public_API,[cmu-project]_lib_API_[cmu-module],List_all_public_API,[cmu-project]_log_TigerTestAgent_AllPublicAPI,ssh:tiger.lge.com:/data001/auto.tiger/daily_build_[cmu-project]_release/intel-build/build/listAPIHandle/output/[cmu-api-module].txt,,,,,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/AllPublicAPI.csv,,,,,,,1,"cmu-project,cmu-module,cmu-api-module",Get all public API
Public_API,[cmu-project]_log_TigerTestAgent_AllPublicAPI,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_CalledPublicAPI,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/AllPublicAPI.csv,,0,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TA_API_[cmu-module]-service.csv,PASS,FAIL,,text,,,1,"cmu-project,cmu-module",Not called public API check
SWIT,[cmu-project]_log_TigerTestAgent_Swit,TigerTestAgent_sldd,[cmu-project]_TigerTestAgent_SWIT,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TA_report/TestResult_SWIT.txt,Success,Fail,[desktop-result] ,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/TestResult_SWIT.html,Pass,Failure,,text,,,1,cmu-project,SWIT test log and result check
Awareness_Test,[cmu-project]_committest_[cmu-module],TEST_ALL_SERVICES_[cmu-project].sh,[cmu-project]_log_Awareness,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/awareTest/[cmu-module].out_log.txt,PASS,FAIL,FINAL_TEST_RESULT :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/awareTest/__result.txt,PASS,FAIL,AWARE_TEST_RESULT :,text,,,1,"cmu-project,cmu-module",Awareness test log and result check
UTS,[cmu-project]_src_UTS_[cmu-uts-module],UTS_Gtest_[cmu-uts-module],[cmu-project]_log_UTS_LOG_[cmu-uts-module],ssh:tiger.lge.com:/data001/auto.tiger/daily_build_[cmu-project]_release/apps_proc/lge/servicelayer/core/services/[cmu-uts-module]/uts/unittests/CMakeLists.txt,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,PASS,FAILED,UTS_Result:,text,,,1,"cmu-project,cmu-uts-module",UTS log check
UTS,[cmu-project]_log_UTS_LOG_[cmu-uts-module],UTS_Coverage_[cmu-uts-module],[cmu-project]_coverage_UTS_COVERAGE_[cmu-uts-module],ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/utsOutput/[cmu-uts-module]/uts_log__[cmu-uts-module].txt,Overall coverage rate: _SEQAND_ [100%] Built target all_coverage,,Overall coverage rate: _SEQAND_ lines _SEQAND_ functions _SEQAND_ branches,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/utsOutput/[cmu-uts-module]/all_coverage/index.html,,,,text,,,1,"cmu-project,cmu-uts-module",UTS coverage html result check
Info-Doxygen,[cmu-project]_src_[cmu-module],"perl-data:info-doxygen.gv, info_doxygen.pl",[cmu-project]_log_doxygen_[cmu-module],ssh:tiger.lge.com:/data001/auto.tiger/daily_build_[cmu-project]_release/apps_proc/lge/servicelayer/core/services/[cmu-module]/_info/info-doxygen.pl,,,,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/info-doxygen/[cmu-module].log,,,,text,,,1,"cmu-project,cmu-module",Make doxygen info from service manager
Info-Doxygen,[cmu-project]_log_doxygen_[cmu-module],automation_script:handle_doxygen.py,[cmu-project]_result_doxygen,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/info-doxygen/[cmu-module].log,pass,fail,result :,text,,,ssh:tiger.lge.com:/var/www/html/DailyTest/Latest_daily__[cmu-project]_release/info-doxygen/__result.txt,PASS,FAIL,Total_Pass:_SEQAND_Total_Fail:_SEQAND_Pass Rate:_SEQAND_INFO_DOXYGEN_RESULT :,text,,,1,"cmu-project,cmu-module",Doxygen log and generate result check
